book_id,rating,number_of_likes
4141,2,8
17395442,1,91
39080472,5,14
6388743,4,9
3659,0,69
3790544,4,1
16068905,5,20
25721483,3,31
8142508,0,11
28872472,0,10
9583227,4,19
1088471,1,87
18634828,2,68
256279,1,14
13056516,0,37
28821568,0,4
39101308,4,10
15814895,5,47
857501,1,76
65959,3,84
8430098,2,66
30968750,0,6
3326341,5,59
16008147,3,19
13662,4,75
71828,0,4
233649,1,49
6558209,5,46
772739,4,52
24550848,2,1
127395,1,85
26026530,4,20
2369,1,75
30653927,2,4
23492824,2,76
15790829,3,31
420849,4,55
37809999,5,2
9968073,5,5
22662559,0,10
11388800,4,24
22602899,2,13
958641,5,89
376585,1,91
346272,3,96
99826,2,12
13616278,0,10
8835902,4,16
16599,0,6
26077060,4,0
11877380,1,12
268917,3,30
53064,2,29
728411,3,73
476909,3,22
38502331,3,15
6801595,1,52
13284773,3,10
5404,1,2
3900619,0,8
22909644,5,85
415459,0,99
26077060,2,24
12849385,2,9
2120932,4,19
11422798,2,51
36347470,1,5
13078741,4,7
6083214,1,85
18071032,1,18
21413662,5,59
13223243,1,10
18666229,1,26
11534309,3,8
26521651,5,1
22524101,4,10
2827647,2,12
6663818,3,13
24081930,0,2
20772386,2,5
1051620,3,3
39854434,3,18
13062508,3,6
2827647,3,47
33967732,5,54
1603125,0,16
60926,3,33
38260251,4,8
16052099,0,49
15793579,1,67
15835514,5,14
35086533,2,100
7510368,0,51
18103481,2,61
9757264,5,1
18519977,4,84
23848325,4,36
500383,5,26
23384313,3,0
522780,3,79
26072926,4,52
9106120,3,89
8722,5,92
29492072,4,22
12105,0,97
27276357,0,60
11541556,4,73
12363795,1,29
30125214,5,52
71687,1,19
38896909,5,95
18741251,4,9
34267484,0,3
22571643,3,16
14930046,3,39
34903009,5,15
8727199,1,46
15706303,0,18
9975313,2,11
10266883,0,18
35525010,5,81
920330,5,2
545913,4,70
8124176,1,30
19508512,0,19
21816725,3,10
17566943,5,33
17981913,5,46
17157823,3,18
30292905,3,1
3322128,5,92
17154644,5,78
334290,5,41
7202825,0,77
13077293,5,84
568592,4,35
183586,3,80
20647357,0,63
15835020,4,3
6431797,4,12
25422809,4,11
25901575,5,63
479921,5,19
9292763,5,77
18142403,3,1
16103129,4,66
25898723,1,19
16155612,4,18
13516565,5,92
1108124,1,62
23254234,3,87
25630718,3,9
11927282,5,50
9570546,2,17
2191666,3,68
94001,1,13
25463009,4,28
481821,2,98
9792199,4,89
25663807,2,12
613792,1,18
36115268,0,19
6423507,4,89
116526,1,18
1379961,0,70
13060609,3,7
12570845,0,13
195606,3,98
239823,4,0
23207202,5,1
5176,5,9
28445324,5,15
40771283,0,93
13597879,5,28
8272246,5,66
6227419,0,20
23546634,5,8
5312124,0,23
16055662,0,8
10429672,2,6
11843017,5,58
13249699,4,16
18431,0,8
31077375,1,9
2506250,2,39
12498099,2,0
34460566,2,5
18588596,1,11
17695321,1,4
6286877,0,13
185289,1,27
17707617,3,13
40550201,1,22
44783,5,12
13563938,1,9
6969361,2,76
16652754,3,13
11344621,0,32
13612018,3,20
18712956,5,5
18251076,5,84
35297311,2,17
36618293,5,18
