book_id,rating,number_of_likes
32620317,1,12
3026017,3,79
19253221,2,32
15823952,0,60
24040790,2,63
3724966,0,19
30037277,1,13
591355,4,9
1382251,4,20
823198,5,13
16056655,2,23
7741325,1,7
20585082,2,17
13160329,4,11
9639150,2,0
6414121,4,4
23460958,3,17
17830212,5,16
36061,4,16
18269958,3,18
36457735,4,8
126077,5,30
461749,3,71
6055161,2,1
18144122,2,25
17798569,0,29
227904,2,3
13060734,2,16
6598207,3,14
19085295,0,3
14942,3,14
312435,2,39
5501275,1,57
16451,2,61
7965765,0,21
4965,3,31
38336011,5,0
33297,5,2
15843219,2,49
7027735,3,36
20582519,0,28
269860,4,57
2248164,3,88
295961,4,84
23114976,5,14
26028216,3,12
35036409,3,5
26021547,2,85
2795053,0,79
5928721,3,27
10431447,5,23
25214463,1,44
29492025,2,97
13260207,2,16
49603,0,10
7532858,3,3
34382818,4,22
123636,5,14
828015,4,89
582663,0,61
18159949,4,14
34229458,5,41
366497,2,0
553475,1,45
2863377,0,59
11868241,5,72
18761416,4,92
15595,3,98
25893709,1,13
6238524,4,58
13045061,0,11
7391172,2,56
295801,2,26
11041148,3,92
36353058,3,2
980426,0,84
10590390,4,1
25358353,0,11
3922904,1,12
7459958,2,7
30635342,0,14
77887,5,28
8396558,2,87
11290,4,7
18405519,1,13
7903511,0,46
13646237,1,39
7132233,0,13
460069,0,3
20527357,0,19
9917957,4,83
34402826,2,37
18216743,0,73
18693994,3,20
23281811,3,6
21922122,0,26
7114761,3,25
6239010,0,26
130602,2,65
17900113,5,86
35066358,4,88
153219,1,10
106134,1,19
5671925,1,80
12905387,1,16
19188,4,5
13624584,1,27
6764886,1,92
3873345,3,29
32600758,3,77
27421270,5,13
21880559,5,59
30971664,4,83
41075318,3,16
7549922,0,99
213577,2,37
20559676,2,79
383480,5,22
38155,4,54
13162861,4,99
109901,2,0
17210471,0,34
30312837,4,25
16072981,4,17
13034606,0,20
36191362,0,72
13517617,3,16
21570971,0,96
32879246,2,41
15732001,0,53
17860217,0,4
18288212,1,20
35997,3,12
6146985,1,4
27310286,0,48
6050678,1,16
13450088,2,42
21802950,4,98
18683044,5,32
8016634,4,67
38896909,4,97
41947746,0,45
1126597,1,16
861326,1,11
11788433,1,3
20877990,3,22
583643,1,19
15831550,2,13
71409,3,16
12828201,5,14
38084780,4,67
23433671,5,82
23719270,4,12
41564321,5,4
18246316,5,8
6261174,4,19
17725095,3,19
6329657,3,4
118141,0,65
20418905,3,90
353465,0,12
35478693,0,45
16159818,1,9
8089192,3,17
17790646,0,70
6395623,1,63
13547514,2,1
17558767,4,13
22735684,4,22
7311738,0,5
406425,5,5
6597344,2,11
18010355,2,7
23161030,1,19
20486644,3,54
2449325,4,90
108681,4,0
33147637,3,11
825889,4,8
11824,4,20
12969636,0,3
36137536,4,13
17787411,0,90
18697605,1,3
23316660,2,56
530582,3,30
6388743,4,17
18710920,2,19
69807,0,60
9864,2,46
22065293,0,0
10516163,1,1
187585,5,79
3133562,1,74
2295823,2,51
23550747,3,15
17560419,1,87
11195608,5,4
8697204,5,54
627166,0,68
6930002,1,9
240188,2,57
3008,2,13
5326,1,3
10928527,3,53
7362158,1,0
10801900,5,6
103758,1,85
40509210,3,23
6687247,4,27
29600119,4,15
23129944,4,32
16117006,4,71
26828161,3,1
9471514,2,86
6378570,0,16
76729,5,12
21428094,5,48
20694384,2,45
18249312,4,10
10765906,2,29
17612897,2,62
18308266,3,60
35445744,0,18
4370,1,2
457762,3,4
77255,0,13
18815522,5,68
12439950,2,4
1004004,5,10
20891547,1,1
512662,0,48
16120760,3,73
162954,2,8
32485744,5,68
25819519,3,59
